Ti,V,Fe,Co,Ni,Zr,Mo,Sn,W,CM_type,CM_morph,MS2_morph,CP_morph,SSA,C,Cation,Anion,P_low,P_high,CD,Cs,Cs_zscore
False,False,False,True,False,False,False,False,False,NoCP,NoCP,bulk,NoCP,3.2,2.0,K,OH,-0.1,0.4,20.0,93.0,-0.8547985690803953
False,False,False,True,False,False,False,False,False,NoCP,NoCP,nanoparticles,NoCP,17.5,2.0,K,OH,-0.1,0.5,1.0,236.0,-0.634342371970225
False,False,False,True,False,False,False,False,False,NoCP,NoCP,nanoparticles,NoCP,17.5,2.0,K,OH,-0.1,0.5,2.0,225.0,-0.6513005409786996
False,False,False,True,False,False,False,False,False,NoCP,NoCP,nanoparticles,NoCP,17.5,2.0,K,OH,-0.1,0.5,5.0,203.0,-0.6852168789956489
False,False,False,True,False,False,False,False,False,NoCP,NoCP,nanoparticles,NoCP,17.5,2.0,K,OH,-0.1,0.5,10.0,175.0,-0.7283831273808571
False,False,False,True,False,False,False,False,False,NoCP,NoCP,nanoparticles,NoCP,17.5,2.0,K,OH,-0.1,0.5,15.0,152.0,-0.7638411171258495
False,False,False,True,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,21.0,2.0,K,OH,0.0,0.4,2.0,624.0,-0.03618150148948324
False,False,False,True,False,False,False,False,False,G-based,2D,irregular nanoparticles,coated,93.0,2.0,K,OH,0.0,0.4,2.0,929.0,0.4340222755636772
False,False,False,True,False,False,False,False,False,G-based,2D,irregular nanoparticles,coated,93.0,2.0,K,OH,0.0,0.4,4.0,855.0,0.31994004768848416
False,False,False,True,False,False,False,False,False,G-based,2D,irregular nanoparticles,coated,93.0,2.0,K,OH,0.0,0.4,8.0,798.0,0.23206589919002465
False,False,False,True,False,False,False,False,False,G-based,2D,irregular nanoparticles,coated,93.0,2.0,K,OH,0.0,0.4,14.0,713.0,0.101025502306357
False,False,False,True,False,False,False,False,False,G-based,2D,irregular nanoparticles,coated,93.0,2.0,K,OH,0.0,0.4,20.0,677.0,0.045526040096803645
False,False,False,True,False,False,False,False,False,NoCP,NoCP,flower-like clusters,NoCP,66.4,2.0,K,OH,-0.1,0.5,1.0,719.0,0.1102754126746159
False,False,False,True,False,False,False,False,False,NoCP,NoCP,flower-like clusters,NoCP,66.4,2.0,K,OH,-0.1,0.5,2.0,697.0,0.07635907465766663
False,False,False,True,False,False,False,False,False,NoCP,NoCP,flower-like clusters,NoCP,66.4,2.0,K,OH,-0.1,0.5,5.0,621.0,-0.04080645667361269
False,False,False,True,False,False,False,False,False,NoCP,NoCP,flower-like clusters,NoCP,66.4,2.0,K,OH,-0.1,0.5,10.0,537.0,-0.1703052018292372
False,False,False,True,False,False,False,False,False,NoCP,NoCP,flower-like clusters,NoCP,66.4,2.0,K,OH,-0.1,0.5,20.0,477.0,-0.2628043055118261
