Z,Period,Group,EN,CR,CM_type,CM_morph,MS2_morph,CP_morph,SSA,C,Cation,Anion,PW,CD,Cs
28,4,10,1.91,1.17,0,0,5,0,59.2,6.0,K,OH,0.55,10.0,534.9
28,4,10,1.91,1.17,0,0,5,0,12.4,2.0,K,OH,0.4,2.0,1541.0
28,4,10,1.91,1.17,0,0,5,0,12.4,2.0,K,OH,0.4,3.0,1421.0
28,4,10,1.91,1.17,0,0,5,0,12.4,2.0,K,OH,0.4,4.0,1349.0
28,4,10,1.91,1.17,0,0,5,0,12.4,2.0,K,OH,0.4,8.0,1213.0
28,4,10,1.91,1.17,0,0,5,0,12.4,2.0,K,OH,0.4,10.0,1150.0
28,4,10,1.91,1.17,0,0,5,0,12.4,2.0,K,OH,0.4,20.0,874.0
27,4,9,1.88,1.18,0,0,3,0,25.1,2.0,K,OH,0.4,2.0,485.0
27,4,9,1.88,1.18,0,0,3,0,25.1,2.0,K,OH,0.4,3.0,464.0
27,4,9,1.88,1.18,0,0,3,0,25.1,2.0,K,OH,0.4,4.0,446.0
27,4,9,1.88,1.18,0,0,3,0,25.1,2.0,K,OH,0.4,8.0,375.0
27,4,9,1.88,1.18,0,0,3,0,25.1,2.0,K,OH,0.4,10.0,354.0
27,4,9,1.88,1.18,0,0,3,0,25.1,2.0,K,OH,0.4,20.0,254.0
